Map,Agents,TimeLimit,Seed,Success,Cost,RealTime_s
room-32-32-4.map,40,120,6,False,-1,120.0313310623169
room-32-32-4.map,40,120,7,False,-1,120.03071188926697
room-32-32-4.map,40,120,8,False,-1,120.03414511680603
room-32-32-4.map,40,120,9,True,1252,9.633413076400757
room-32-32-4.map,40,120,10,False,-1,120.03193306922913
room-32-32-4.map,40,150,1,False,-1,150.03292512893677
room-32-32-4.map,40,150,2,False,-1,150.03623580932617
room-32-32-4.map,40,150,3,False,-1,150.0316300392151
room-32-32-4.map,40,150,4,True,1169,0.34752798080444336
room-32-32-4.map,40,150,5,False,-1,150.03104734420776
room-32-32-4.map,40,150,6,False,-1,150.032164812088
room-32-32-4.map,40,150,7,False,-1,150.03315496444702
room-32-32-4.map,40,150,8,False,-1,150.0321547985077
room-32-32-4.map,40,150,9,True,1252,9.650362968444824
room-32-32-4.map,40,150,10,False,-1,150.03264689445496
room-32-32-4.map,60,30,1,False,-1,30.032438039779663
room-32-32-4.map,60,30,2,False,-1,30.03240704536438
room-32-32-4.map,60,30,3,False,-1,30.032649993896484
room-32-32-4.map,60,30,4,True,1892,0.21725893020629883
room-32-32-4.map,60,30,5,False,-1,30.030681133270264
room-32-32-4.map,60,30,6,False,-1,30.030840158462524
room-32-32-4.map,60,30,7,False,-1,30.030470848083496
room-32-32-4.map,60,30,8,False,-1,30.036036729812622
room-32-32-4.map,60,30,9,False,-1,30.029916286468506
room-32-32-4.map,60,30,10,False,-1,30.03057098388672
room-32-32-4.map,60,60,1,False,-1,60.03208684921265
room-32-32-4.map,60,60,2,False,-1,60.03316521644592
room-32-32-4.map,60,60,3,False,-1,60.03339910507202
room-32-32-4.map,60,60,4,True,1892,0.2215099334716797
room-32-32-4.map,60,60,5,False,-1,60.0292649269104
room-32-32-4.map,60,60,6,False,-1,60.03176712989807
room-32-32-4.map,60,60,7,False,-1,60.03342080116272
room-32-32-4.map,60,60,8,False,-1,60.03294897079468
room-32-32-4.map,60,60,9,False,-1,60.03134608268738
room-32-32-4.map,60,60,10,False,-1,60.031522035598755
room-32-32-4.map,60,90,1,False,-1,90.03414511680603
room-32-32-4.map,60,90,2,False,-1,90.03279900550842
room-32-32-4.map,60,90,3,False,-1,90.03154397010803
room-32-32-4.map,60,90,4,True,1892,0.21381402015686035
room-32-32-4.map,60,90,5,False,-1,90.03028774261475
room-32-32-4.map,60,90,6,False,-1,90.03091287612915
room-32-32-4.map,60,90,7,False,-1,90.03146290779114
room-32-32-4.map,60,90,8,False,-1,90.03140187263489
room-32-32-4.map,60,90,9,False,-1,90.03182697296143
room-32-32-4.map,60,90,10,False,-1,90.03281998634338
room-32-32-4.map,60,120,1,False,-1,120.03309798240662
room-32-32-4.map,60,120,2,False,-1,120.03160119056702
room-32-32-4.map,60,120,3,False,-1,120.03302597999573
room-32-32-4.map,60,120,4,True,1892,0.2168140411376953
room-32-32-4.map,60,120,5,False,-1,120.03113889694214
room-32-32-4.map,60,120,6,False,-1,120.03353595733643
room-32-32-4.map,60,120,7,False,-1,120.03621792793274
room-32-32-4.map,60,120,8,False,-1,120.03367376327515
room-32-32-4.map,60,120,9,False,-1,120.03306293487549
room-32-32-4.map,60,120,10,False,-1,120.03140091896057
room-32-32-4.map,60,150,1,False,-1,150.0371081829071
room-32-32-4.map,60,150,2,False,-1,150.0324330329895
room-32-32-4.map,60,150,3,False,-1,150.0338978767395
room-32-32-4.map,60,150,4,True,1892,0.21750092506408691
room-32-32-4.map,60,150,5,False,-1,150.033264875412
room-32-32-4.map,60,150,6,False,-1,150.0354540348053
room-32-32-4.map,60,150,7,False,-1,150.03137183189392
room-32-32-4.map,60,150,8,False,-1,150.03298783302307
room-32-32-4.map,60,150,9,False,-1,150.0324308872223
room-32-32-4.map,60,150,10,False,-1,150.03456616401672
room-32-32-4.map,80,30,1,False,-1,30.030311107635498
